,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
596,A,4.97,33,0.83,1,0.48,1566,47.45,2.0,2.0,2.0,13.0,0.7904,867.0,18.0,15.0,42.17,31.0,0.0,0.0,Ligue 1,8.0,6.5,3.5,4.5
597,MO,4.95,19,0.71,1,0.37,736,38.74,1.5,1.0,1.0,8.0,0.6741,384.0,8.0,4.0,53.97,7.0,0.0,0.0,Ligue 1,7.0,7.0,4.0,2.0
598,A,4.92,36,0.82,1,0.69,2246,62.39,9.0,1.0,6.0,18.0,0.7847,1249.0,24.0,24.0,45.36,22.0,0.0,0.0,Ligue 1,12.0,7.0,3.0,5.0
599,MD,4.91,17,1.08,1,0.94,1503,88.41,4.5,0.0,0.0,0.0,0.8963,1137.0,17.0,8.0,51.15,17.0,0.0,0.0,Ligue 1,10.0,7.0,3.0,0.0
600,MO,4.89,33,0.81,1,0.76,2017,61.12,5.0,1.0,4.0,11.0,0.6511,1035.0,26.0,37.0,45.06,29.0,0.0,0.0,Ligue 1,9.0,6.5,3.5,4.75
601,DL,4.88,28,0.85,1,0.82,1950,69.64,5.5,0.0,2.0,11.0,0.7999,1256.0,26.0,22.0,49.36,28.0,0.0,0.0,Ligue 1,10.0,7.0,2.5,4.5
602,DC,4.84,28,0.86,1,0.89,2301,82.18,7.5,1.0,1.0,1.0,0.8198,1430.0,27.0,24.0,54.47,30.0,0.0,0.0,Ligue 1,10.0,7.0,3.0,4.5
603,DC,4.83,26,1.03,1,1.0,2217,85.27,4.5,0.0,0.0,2.0,0.8302,1519.0,29.0,44.0,59.09,19.0,0.0,0.0,Ligue 1,10.0,6.5,3.0,4.0
604,A,4.83,27,0.62,1,0.41,1054,39.04,0.5,2.0,6.0,7.0,0.8235,680.0,7.0,12.0,37.29,14.0,0.0,0.0,Ligue 1,7.0,6.5,3.5,4.5
605,DL,4.83,21,0.62,1,0.76,1312,62.48,3.0,0.0,0.0,4.0,0.7509,845.0,26.0,21.0,53.24,21.0,0.0,0.0,Ligue 1,9.0,6.5,4.0,4.0
606,DL,4.82,19,0.89,1,0.79,1317,69.32,1.5,2.0,4.0,9.0,0.792,893.0,5.0,17.0,52.88,12.0,0.0,0.0,Ligue 1,5.0,7.0,3.0,1.5
607,DC,4.74,21,0.68,1,0.52,1093,52.05,1.0,1.0,1.0,6.0,0.7364,712.0,7.0,17.0,51.89,13.0,0.0,0.0,Ligue 1,3.0,6.5,3.5,3.5
608,DC,4.73,15,0.73,1,0.47,762,50.8,1.0,0.0,1.0,0.0,0.8433,542.0,8.0,4.0,58.06,6.0,0.0,0.0,Ligue 1,5.0,6.0,3.5,0.0
609,MO,4.71,26,0.49,1,0.23,627,24.12,2.0,0.0,1.0,2.0,0.6232,380.0,14.0,14.0,40.71,19.0,0.0,0.0,Ligue 1,7.0,6.0,4.0,4.5
610,MO,4.7,20,1.03,1,0.75,1329,66.45,3.5,1.0,2.0,6.0,0.7603,929.0,16.0,20.0,40.56,20.0,0.0,0.0,Ligue 1,11.0,7.0,3.0,3.0
611,DC,4.69,18,1.21,1,0.83,1315,73.06,3.0,0.0,0.0,0.0,0.7883,867.0,19.0,14.0,60.53,13.0,0.0,0.0,Ligue 1,5.0,6.5,2.0,0.0
612,DL,4.68,30,0.84,1,0.7,1800,60.0,1.0,1.0,1.0,16.0,0.7422,1175.0,26.0,12.0,49.55,12.0,0.0,0.0,Ligue 1,8.0,7.0,3.0,4.5
613,MD,4.67,26,0.8,1,0.54,1329,51.12,1.5,1.0,1.0,2.0,0.6677,1080.0,24.0,17.0,45.64,24.0,0.0,0.0,Ligue 1,8.0,6.0,2.0,4.5
614,DC,4.66,22,1.1,1,0.91,1760,80.0,5.0,0.0,0.0,1.0,0.8318,1032.0,28.0,18.0,52.27,26.0,0.0,0.0,Ligue 1,10.0,6.0,2.0,3.25
615,DC,4.63,24,0.81,1,0.79,1792,74.67,2.0,0.0,0.0,0.0,0.7418,884.0,15.0,7.0,63.86,12.0,0.0,0.0,Ligue 1,9.0,6.5,3.0,4.0
616,DC,4.6,20,0.95,1,0.95,1579,78.95,1.0,1.0,0.0,0.0,0.8532,1030.0,10.0,20.0,53.24,37.0,0.0,0.0,Ligue 1,8.0,7.0,3.0,3.25
617,DC,4.59,32,0.93,1,0.97,2650,82.81,0.5,0.0,0.0,1.0,0.8185,1820.0,38.0,31.0,62.72,29.0,0.0,0.0,Ligue 1,9.0,6.5,3.0,4.5
618,A,4.43,15,0.53,1,0.07,246,16.4,1.0,0.0,0.0,3.0,0.798,128.0,1.0,2.0,16.67,6.0,0.0,0.0,Ligue 1,5.0,6.0,4.0,0.0
619,DC,4.4,26,1.16,1,0.81,1900,73.08,3.0,0.0,1.0,1.0,0.7172,998.0,26.0,15.0,56.97,22.0,0.0,0.0,Ligue 1,8.0,7.5,2.0,3.75
620,G,6.21,19,1.18,0,1.0,1710,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,20.0,Ligue 1,19.0,8.5,3.5,1.75
621,G,5.74,17,1.08,0,1.0,1530,90.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,14.0,Ligue 1,18.0,8.0,4.0,0.0
622,MD,5.72,30,0.89,0,0.97,2493,83.1,11.5,0.0,1.0,2.0,0.8397,1969.0,45.0,41.0,55.73,43.0,0.0,0.0,Ligue 1,17.0,8.0,3.5,5.5
623,G,5.64,37,0.71,0,1.0,3330,90.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,34.0,Ligue 1,18.0,7.0,4.0,5.5
624,G,5.63,31,1.08,0,1.0,2790,90.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,43.0,Ligue 1,17.0,7.5,4.0,5.5
625,G,5.62,33,1.15,0,0.97,2925,88.64,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,Ligue 1,20.0,8.0,3.0,5.5
626,G,5.62,37,1.19,0,1.0,3330,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,36.0,Ligue 1,18.0,8.0,2.0,5.75
627,G,5.61,38,1.26,0,1.0,3410,89.74,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,47.0,Ligue 1,15.0,8.0,3.0,5.5
628,G,5.6,36,1.17,0,1.0,3240,90.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,39.0,Ligue 1,16.0,7.5,3.0,6.0
629,MD,5.55,29,0.99,0,0.93,2206,76.07,12.0,0.0,5.0,6.0,0.9283,2929.0,27.0,48.0,54.17,36.0,0.0,0.0,Ligue 1,20.0,7.5,3.5,5.5
630,G,5.53,32,0.87,0,1.0,2880,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,25.0,Ligue 1,20.0,8.0,4.0,5.25
631,G,5.49,38,1.13,0,1.0,3420,90.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,42.0,Ligue 1,16.0,7.5,2.5,5.5
632,MD,5.48,29,0.77,0,0.97,2351,81.07,6.5,1.0,2.0,1.0,0.8835,1863.0,35.0,50.0,54.29,28.0,0.0,0.0,Ligue 1,13.0,7.0,4.0,5.5
633,G,5.47,37,1.38,0,1.0,3329,89.97,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,48.0,Ligue 1,18.0,8.0,3.0,5.25
634,MD,5.47,35,1.04,0,0.74,2461,70.31,7.0,6.0,6.0,10.0,0.7652,1411.0,41.0,34.0,50.23,33.0,0.0,0.0,Ligue 1,12.0,8.0,3.5,5.25
635,G,5.44,32,1.17,0,1.0,2817,88.03,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,34.0,Ligue 1,16.0,7.5,3.0,5.25
636,G,5.41,34,1.07,0,1.0,3014,88.65,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,26.0,Ligue 1,16.0,8.0,3.5,5.5
